a,b,c,d,e
0,0,0,0,0
30,0,42,46,128
60,0,46,46,132
90,0,47,45,132
120,0,46,46,132
150,0,46,45,131
180,0,46,45,131
210,0,47,45,132
240,0,47,45,132
270,0,46,45,131
300,0,46,45,131
330,0,47,45,132
360,0,46,45,131
390,0,46,45,131
420,0,45,46,131
450,0,45,47,132
480,0,46,45,131
510,0,46,45,131
540,0,47,45,132
570,0,46,46,132
600,0,46,45,131
630,0,45,46,131
660,0,46,45,131
690,0,46,45,131
720,0,47,45,132
750,0,48,45,133
780,0,47,45,132
810,0,46,45,131
840,0,46,47,133
870,0,46,45,131
900,0,46,45,131
930,0,46,45,131
960,0,45,46,131
990,0,45,47,132
1020,0,47,45,132
1050,0,46,48,134
1080,0,46,45,131
1110,0,45,46,131
1140,0,46,46,132
1170,0,46,45,131
1200,0,46,45,131
1230,0,46,45,131
1260,0,47,45,132
1290,0,46,46,132
1320,0,47,45,132
1350,0,47,45,132
1380,0,47,45,132
1410,0,45,46,131
1440,0,46,45,131
1470,0,47,45,132
1500,0,47,45,132
1530,0,46,48,144
1560,0,46,45,131
1590,0,46,46,132
1620,0,47,45,132
1650,0,46,48,134
1680,0,47,45,132
1710,0,48,45,133
1740,0,47,45,132
1770,0,45,47,132
1800,0,45,46,131
1830,0,47,45,132
1860,0,46,46,132
1890,0,47,45,132
1920,0,46,45,131
1950,0,46,45,131
1980,0,46,45,131
2010,0,47,45,132
2040,0,46,46,132
2070,0,45,47,132
2100,0,46,46,132
2130,0,45,46,131
2160,0,46,45,131
2190,0,46,47,133
2220,0,46,45,131
2250,0,47,45,132
2280,0,47,45,132
2310,0,47,45,132
2340,0,46,46,132
2370,0,45,45,130
2400,0,45,46,131
2430,0,47,45,132
2460,0,46,45,131
2490,0,47,45,132
2520,0,46,45,131
2550,0,45,47,132
2580,0,46,45,131
2610,0,45,45,140
2640,0,47,45,132
2670,0,47,45,132
2700,0,47,45,132
2730,0,47,45,132
2760,0,45,48,133
2790,0,45,46,131
2820,0,46,45,131
2850,0,45,47,132
2880,0,47,45,132
2910,0,47,45,132
2940,0,47,45,132
2970,0,47,45,132
3000,0,46,45,131
3030,0,45,46,131
3060,0,45,46,131
3090,0,47,45,132
3120,0,47,45,132
3150,0,46,46,132
3180,0,45,46,131
3210,0,46,45,131
3240,0,46,45,131
3270,0,46,45,131
3300,0,47,45,132
3330,0,46,46,132
3360,0,46,45,131
3390,0,46,45,131
3420,0,46,45,131
3450,0,46,46,132
3480,0,45,46,131
3510,0,46,46,132
3540,0,46,45,131
3570,0,45,46,131
3600,0,45,47,132
3630,0,47,45,132
3660,0,47,45,132
3690,0,47,45,132
3720,0,47,45,132
3750,0,46,45,131
3780,0,47,45,132
3810,0,46,46,132
3840,0,46,45,131
3870,0,47,45,132
3900,0,47,45,132
3930,0,45,47,132
3960,0,46,45,131
3990,0,46,45,131
4020,0,47,45,132
4050,0,46,45,131
4080,0,47,45,132
4110,0,46,45,131
4140,0,45,48,133
4170,0,45,47,132
4200,0,45,47,142
4230,0,45,46,131
4260,0,46,45,131
4290,0,46,45,131
4320,0,47,45,132
4350,0,47,45,132
4380,0,46,45,131
4410,0,46,45,131
4440,0,46,45,131
4470,0,47,45,132
4500,0,47,45,132
4530,0,45,47,132
4560,0,46,45,131
4590,0,46,45,131
4620,0,46,45,131
4650,0,46,45,131
4680,0,47,45,132
4710,0,45,46,131
4740,0,46,45,131
4770,0,45,46,131
4800,0,46,46,132
4830,0,47,45,132
4860,0,46,46,132
4890,0,47,45,132
4920,0,46,46,132
4950,0,45,46,131
4980,0,45,46,131
5010,0,46,45,131
