a,b,c,d
0,0,900,0
30,0,414,70
60,0,393,70
90,0,393,70
120,0,396,70
150,0,393,70
180,0,393,70
210,0,393,70
240,0,393,70
270,0,396,70
300,0,393,70
330,0,393,70
360,0,393,70
390,0,410,70
420,0,417,70
450,0,393,70
480,0,393,70
510,0,393,70
540,0,396,70
570,0,393,70
600,0,393,70
630,0,388,70
660,0,393,70
690,0,414,70
720,0,393,70
750,0,393,70
780,0,393,70
810,0,393,70
840,0,393,70
870,0,393,70
900,0,396,70
930,0,396,70
960,0,410,70
990,0,414,70
1020,0,396,70
1050,0,388,70
1080,0,393,70
1110,0,396,70
1140,0,393,70
1170,0,393,70
1200,0,393,70
1230,0,417,70
1260,0,393,70
1290,0,393,70
1320,0,393,70
1350,0,393,70
1380,0,393,70
1410,0,393,70
1440,0,393,70
1470,0,393,70
1500,0,388,70
1530,0,393,70
1560,0,393,70
1590,0,396,70
1620,0,393,70
1650,0,393,70
1680,0,414,70
1710,0,393,70
1740,0,393,70
1770,0,393,70
1800,0,393,70
1830,0,393,70
1860,0,393,70
1890,0,396,70
1920,0,414,70
1950,0,396,70
1980,0,393,70
2010,0,393,70
2040,0,393,70
2070,0,396,70
2100,0,396,70
2130,0,414,70
2160,0,393,70
2190,0,396,70
2220,0,393,70
2250,0,393,70
2280,0,393,70
2310,0,396,70
2340,0,393,70
2370,0,414,70
2400,0,417,70
2430,0,393,70
2460,0,396,70
2490,0,393,70
2520,0,396,70
2550,0,393,70
2580,0,414,70
2610,0,388,70
2640,0,393,70
2670,0,393,70
2700,0,393,70
2730,0,393,70
2760,0,393,70
2790,0,393,70
2820,0,396,70
2850,0,393,70
2880,0,417,70
2910,0,393,70
2940,0,393,70
2970,0,393,70
3000,0,393,70
3030,0,393,70
3060,0,410,70
3090,0,414,70
3120,0,417,70
3150,0,393,70
3180,0,393,70
3210,0,393,70
3240,0,393,70
3270,0,393,70
3300,0,393,70
3330,0,414,70
3360,0,393,70
3390,0,393,70
3420,0,393,70
3450,0,396,70
3480,0,393,70
3510,0,393,70
3540,0,393,70
3570,0,414,70
3600,0,393,70
3630,0,393,70
3660,0,393,70
3690,0,393,70
3720,0,393,70
3750,0,393,70
3780,0,396,70
3810,0,414,70
3840,0,403,70
3870,0,393,70
3900,0,393,70
3930,0,393,70
3960,0,393,70
3990,0,393,70
4020,0,393,70
4050,0,393,70
4080,0,393,70
4110,0,393,70
4140,0,393,70
4170,0,393,70
4200,0,393,70
4230,0,393,70
4260,0,393,70
4290,0,396,70
4320,0,393,70
4350,0,393,70
4380,0,393,70
4410,0,396,70
4440,0,393,70
4470,0,414,70
4500,0,393,70
4530,0,393,70
4560,0,393,70
4590,0,388,70
4620,0,393,70
4650,0,393,70
4680,0,414,70
4710,0,399,70
4740,0,393,70
4770,0,414,70
4800,0,393,70
4830,0,393,70
4860,0,396,70
4890,0,393,70
4920,0,393,70
4950,0,393,70
4980,0,393,70
5010,0,393,70
