a,b,c,d
0,0,800,800
30,4,372,800
60,11,393,800
90,19,396,800
120,24,393,800
150,28,372,800
180,33,345,800
210,40,197,800
240,49,112,800
270,57,800,800
300,58,800,800
330,50,800,800
360,41,800,800
390,33,800,800
420,26,800,800
450,20,800,800
480,10,800,800
510,-2,184,800
540,-14,185,800
570,-27,355,661
600,-39,800,278
630,-50,800,194
660,-58,800,800
690,-60,800,800
720,-54,800,800
750,-46,800,800
780,-38,800,800
810,-30,800,800
840,-20,800,800
870,-9,800,800
900,2,800,315
930,14,800,284
960,24,800,285
990,33,800,800
1020,42,345,800
1050,51,134,800
1080,60,800,800
1110,61,800,800
1140,54,800,800
1170,44,800,800
1200,35,800,800
1230,26,800,800
1260,17,800,800
1290,7,800,800
1320,-5,800,800
1350,-18,153,800
1380,-30,468,661
1410,-42,800,178
1440,-52,800,178
1470,-59,800,800
1500,-62,800,800
1530,-56,800,800
1560,-47,800,800
1590,-38,800,800
1620,-29,800,800
1650,-20,800,800
1680,-9,800,800
1710,2,800,800
1740,13,800,238
1770,24,800,350
1800,34,410,800
1830,42,212,800
1860,51,267,800
1890,59,268,800
1920,60,800,800
1950,53,800,800
1980,44,800,800
2010,34,800,800
2040,26,800,800
2070,17,800,800
2100,6,800,800
2130,-6,310,800
2160,-18,281,800
2190,-31,800,799
2220,-42,800,191
2250,-52,800,188
2280,-60,800,800
2310,-62,800,800
2340,-57,800,800
2370,-48,800,800
2400,-38,800,800
2430,-30,800,800
2460,-21,800,800
2490,-11,800,800
2520,0,800,800
2550,12,800,180
2580,22,800,555
2610,32,372,555
2640,41,372,800
2670,50,146,800
2700,58,800,800
2730,59,800,800
2760,52,800,800
2790,43,800,800
2820,35,800,800
2850,27,800,800
2880,18,800,800
2910,7,800,800
2940,-5,162,800
2970,-18,172,800
3000,-30,353,800
3030,-41,800,244
3060,-52,800,244
3090,-60,800,344
3120,-64,800,800
3150,-58,800,800
3180,-49,800,800
3210,-40,800,800
3240,-30,800,800
3270,-21,800,800
3300,-11,800,800
3330,0,800,800
3360,11,800,161
3390,22,800,468
3420,32,800,525
3450,41,355,800
3480,49,121,800
3510,57,800,800
3540,58,800,800
3570,52,800,800
3600,43,800,800
3630,35,800,800
3660,27,800,800
3690,18,800,800
3720,8,800,800
3750,-4,647,800
3780,-17,151,800
3810,-30,414,800
3840,-41,800,292
3870,-51,800,290
3900,-60,800,255
3930,-64,800,800
3960,-59,800,800
3990,-50,800,800
4020,-40,800,800
4050,-31,800,800
4080,-22,800,800
4110,-12,800,800
4140,0,800,800
4170,11,800,156
4200,22,800,468
4230,32,674,800
4260,41,295,800
4290,50,187,800
4320,57,174,800
4350,58,800,800
4380,52,800,800
4410,43,800,800
4440,34,800,800
4470,27,800,800
4500,0,800,800
4530,4,372,800
4560,11,393,800
4590,19,396,800
4620,24,393,800
4650,28,372,800
4680,33,345,800
4710,40,197,800
4740,49,112,800
4770,57,800,800
4800,58,800,800
4830,50,800,800
4860,41,800,800
4890,33,800,800
4920,26,800,800
4950,20,800,800
4980,10,800,800
5010,-2,184,800
