timestep, ms, pos_actual, speed_actual, measurement, error, pos_pred, speed_pred, cov1, cov2, cov3, cov4, gain1, gain2, pos_pred_upd, speed_pred_upd, cov_upd1, cov_upd2, cov_upd3, cov_upd4
0,0,-20.000000,50.000000,-20.000000,0.000000,-20.740000,50.000000,1.000000,0.000000,0.000000,900.000000,0.000000,0.000000,-20.740000,50.000000,1.000000,0.000000,0.000000,900.000000
1,20,-20.000000,50.000000,-19.659000,0.341000,-20.740000,50.000000,1.000000,0.000000,0.000000,900.000000,0.111111,0.000000,-20.157778,50.000000,0.978889,9.000000,9.000000,900.000000
2,40,-20.000000,50.000000,-16.327000,3.673000,-20.157778,50.000000,0.978889,9.000000,9.000000,900.000000,0.109021,1.002351,-19.638995,50.158149,1.121643,16.928598,16.928598,890.978839
3,60,-20.000000,50.000000,-20.807000,-0.807000,-19.638995,50.158149,1.121643,16.928598,16.928598,890.978839,0.122965,1.855871,-19.188504,49.488170,1.366616,23.442587,23.442587,859.561537
4,80,-20.000000,50.000000,-21.723000,-1.723000,-19.188504,49.488170,1.366616,23.442587,23.442587,859.561537,0.145903,2.502781,-18.832332,47.457175,1.647757,28.031146,28.031146,800.889878
5,100,-20.000000,50.000000,-17.824000,2.176000,-18.832332,47.457175,1.647757,28.031146,28.031146,800.889878,0.170792,2.905457,-18.591115,44.064566,1.903151,30.438125,30.438125,719.446580
6,120,-20.000000,50.000000,-18.110000,1.890000,-18.591115,44.064566,1.903151,30.438125,30.438125,719.446580,0.192176,3.073580,-18.464527,39.734244,2.091773,30.847563,30.847563,625.892580
7,141,-20.000000,50.000000,-17.947000,2.053000,-18.464527,39.734244,2.091773,30.847563,30.847563,625.892580,0.207275,3.056704,-18.432384,35.040756,2.200433,29.769640,29.769640,531.600709
8,162,-20.000000,50.000000,-22.120000,-2.120000,-18.432384,35.040756,2.200433,29.769640,29.769640,531.600709,0.215720,2.918468,-18.465893,30.465720,2.237183,27.794935,27.794935,444.718962
9,183,-20.000000,50.000000,-19.646000,0.354000,-18.465893,30.465720,2.237183,27.794935,27.794935,444.718962,0.218535,2.715096,-18.538144,26.300471,2.219621,25.413298,25.413298,369.253047
10,205,-20.000000,50.000000,-22.494000,-2.494000,-18.538144,26.300471,2.219621,25.413298,25.413298,369.253047,0.217192,2.486716,-18.628995,22.665250,2.166017,22.954304,22.954304,306.057386
11,226,-9.000000,50.000000,-7.295000,1.705000,-18.628995,22.665250,2.166017,22.954304,22.954304,306.057386,0.213064,2.257945,-16.133328,44.406988,2.091210,20.605835,20.605835,254.227839
12,247,-9.000000,50.000000,-7.268000,1.732000,-16.133328,44.406988,2.091210,20.605835,20.605835,254.227839,0.207231,2.041959,-14.065353,58.972951,2.005775,18.457187,18.457187,212.151571
13,268,-9.000000,50.000000,-8.294000,0.706000,-14.065353,58.972951,2.005775,18.457187,18.457187,212.151571,0.200462,1.844653,-12.366776,68.316772,1.916649,16.538271,16.538271,178.104460
14,289,-9.000000,50.000000,-11.041000,-2.041000,-12.366776,68.316772,1.916649,16.538271,16.538271,178.104460,0.193276,1.667728,-10.976743,73.931637,1.828096,14.847054,14.847054,150.523125
15,310,-9.000000,50.000000,-6.603000,2.397000,-10.976743,73.931637,1.828096,14.847054,14.847054,150.523125,0.186007,1.510675,-9.839876,76.917853,1.742574,13.366337,13.366337,128.094059
16,331,-20.000000,50.000000,-23.436000,-3.436000,-9.839876,76.917853,1.742574,13.366337,13.366337,128.094059,0.178862,1.371951,-11.027348,62.978659,1.661382,12.073171,12.073171,109.756098
17,352,-20.000000,50.000000,-21.466000,-1.466000,-11.027348,62.978659,1.661382,12.073171,12.073171,109.756098,0.171961,1.249632,-12.052633,51.766146,1.585097,10.943746,10.943746,94.669079
18,373,-20.000000,50.000000,-19.547000,0.453000,-12.052633,51.766146,1.585097,10.943746,10.943746,94.669079,0.165371,1.141746,-12.939975,42.692273,1.513865,9.955709,9.955709,82.174102
19,395,-20.000000,50.000000,-18.094000,1.906000,-12.939975,42.692273,1.513865,9.955709,9.955709,82.174102,0.159122,1.046442,-13.710336,35.304365,1.447582,9.089097,9.089097,71.756029
20,416,-20.000000,50.000000,-19.221000,0.779000,-13.710336,35.304365,1.447582,9.089097,9.089097,71.756029,0.153222,0.962055,-14.381520,29.253360,1.386010,8.326561,8.326561,63.011815
21,437,-20.000000,50.000000,-17.776000,2.224000,-14.381520,29.253360,1.386010,8.326561,8.326561,63.011815,0.147668,0.887125,-14.968497,24.269068,1.328844,7.653249,7.653249,55.625117
22,458,-20.000000,50.000000,-19.728000,0.272000,-14.968497,24.269068,1.328844,7.653249,7.653249,55.625117,0.142445,0.820386,-15.483795,20.141295,1.275753,7.056550,7.056550,49.346502
23,479,-20.000000,50.000000,-23.455000,-3.455000,-15.483795,20.141295,1.275753,7.056550,7.056550,49.346502,0.137536,0.760752,-15.937881,16.705582,1.226409,6.525800,6.525800,43.978216
24,500,-20.000000,50.000000,-23.551000,-3.551000,-15.937881,16.705582,1.226409,6.525800,6.525800,43.978216,0.132924,0.707296,-16.339509,13.832463,1.180494,6.051991,6.051991,39.362545
25,521,-20.000000,50.000000,-17.622000,2.378000,-16.339509,13.832463,1.180494,6.051991,6.051991,39.362545,0.128587,0.659223,-16.696007,11.419384,1.137710,5.627512,5.627512,35.372934
26,542,-20.000000,50.000000,-19.188000,0.812000,-16.696007,11.419384,1.137710,5.627512,5.627512,35.372934,0.124507,0.615856,-17.013532,9.384600,1.097785,5.245919,5.245919,31.907198
27,563,-20.000000,50.000000,-18.505000,1.495000,-17.013532,9.384600,1.097785,5.245919,5.245919,31.907198,0.120665,0.576615,-17.297269,7.662558,1.060467,4.901743,4.901743,28.882323
28,584,7.000000,50.000000,6.110000,-0.890000,-17.297269,7.662558,1.060467,4.901743,4.901743,28.882323,0.117043,0.541003,-14.245361,20.807461,1.025530,4.590331,4.590331,26.230464
29,605,7.000000,50.000000,3.061000,-3.939000,-14.245361,20.807461,1.025530,4.590331,4.590331,26.230464,0.113625,0.508594,-11.515219,31.612726,0.992768,4.307711,4.307711,23.895849
30,626,7.000000,50.000000,5.963000,-1.037000,-11.515219,31.612726,0.992768,4.307711,4.307711,23.895849,0.110396,0.479019,-9.066389,40.481876,0.961997,4.050479,4.050479,21.832371
31,647,7.000000,50.000000,4.606000,-2.394000,-9.066389,40.481876,0.961997,4.050479,4.050479,21.832371,0.107342,0.451962,-6.864361,47.743269,0.933048,3.815711,3.815711,20.001710
32,668,7.000000,50.000000,9.360000,2.360000,-6.864361,47.743269,0.933048,3.815711,3.815711,20.001710,0.104449,0.427145,-4.879588,53.665367,0.905773,3.600882,3.600882,18.371846
33,689,7.000000,50.000000,9.905000,2.905000,-4.879588,53.665367,0.905773,3.600882,3.600882,18.371846,0.101706,0.404331,-3.086673,58.468655,0.880035,3.403809,3.403809,16.915897
34,710,7.000000,50.000000,4.838000,-2.162000,-3.086673,58.468655,0.880035,3.403809,3.403809,16.915897,0.099103,0.383310,-1.463708,62.334981,0.855712,3.222594,3.222594,15.611182
35,731,7.000000,50.000000,8.175000,1.175000,-1.463708,62.334981,0.855712,3.222594,3.222594,15.611182,0.096628,0.363900,0.008275,65.414924,0.832694,3.055585,3.055585,14.438480
36,752,8.000000,50.000000,5.343000,-2.657000,0.008275,65.414924,0.832694,3.055585,3.055585,14.438480,0.094274,0.345940,1.443483,68.179585,0.810881,2.901337,2.901337,13.381430
37,773,9.000000,50.000000,8.605000,-0.395000,1.443483,68.179585,0.810881,2.901337,2.901337,13.381430,0.092032,0.329290,2.845601,70.667872,0.790183,2.758583,2.758583,12.426048
38,794,12.000000,50.000000,15.496000,3.496000,2.845601,70.667872,0.790183,2.758583,2.758583,12.426048,0.089894,0.313825,4.403932,73.540755,0.770519,2.626206,2.626206,11.560335
39,815,15.000000,50.000000,12.661000,-2.339000,4.403932,73.540755,0.770519,2.626206,2.626206,11.560335,0.087853,0.299436,6.101967,76.713596,0.751813,2.503225,2.503225,10.773955
40,837,15.000000,50.000000,16.403000,1.403000,6.101967,76.713596,0.751813,2.503225,2.503225,10.773955,0.085904,0.286024,7.658928,79.258644,0.733999,2.388769,2.388769,10.057973
41,858,13.000000,50.000000,9.993000,-3.007000,7.658928,79.258644,0.733999,2.388769,2.388769,10.057973,0.084039,0.273502,8.914982,80.719439,0.717015,2.282065,2.282065,9.404639
42,879,15.000000,50.000000,15.190000,0.190000,8.914982,80.719439,0.717015,2.282065,2.282065,9.404639,0.082255,0.261794,10.238628,82.312462,0.700805,2.182426,2.182426,8.807208
43,900,20.000000,50.000000,17.364000,-2.636000,10.238628,82.312462,0.700805,2.182426,2.182426,8.807208,0.080545,0.250830,11.872466,84.760910,0.685318,2.089241,2.089241,8.259789
44,921,24.000000,50.000000,21.878000,-2.122000,11.872466,84.760910,0.685318,2.089241,2.089241,8.259789,0.078905,0.240549,13.706174,87.678171,0.670506,2.001961,2.001961,7.757225
45,942,23.000000,50.000000,22.294000,-0.706000,13.706174,87.678171,0.670506,2.001961,2.001961,7.757225,0.077332,0.230893,15.323123,89.824052,0.656327,1.920095,1.920095,7.294986
46,963,21.000000,50.000000,17.697000,-3.303000,15.323123,89.824052,0.656327,1.920095,1.920095,7.294986,0.075820,0.221814,16.664379,91.083264,0.642741,1.843204,1.843204,6.869082
47,984,23.000000,50.000000,19.271000,-3.729000,16.664379,91.083264,0.642741,1.843204,1.843204,6.869082,0.074368,0.213266,18.059890,92.434437,0.629712,1.770889,1.770889,6.475989
48,1005,27.000000,50.000000,23.182000,-3.818000,18.059890,92.434437,0.629712,1.770889,1.770889,6.475989,0.072970,0.205208,19.654942,94.269022,0.617206,1.702792,1.702792,6.112588
49,1027,33.000000,50.000000,35.458000,2.458000,19.654942,94.269022,0.617206,1.702792,1.702792,6.112588,0.071625,0.197604,21.579841,96.906055,0.605193,1.638591,1.638591,5.776110
50,1048,35.000000,50.000000,38.139000,3.139000,21.579841,96.906055,0.605193,1.638591,1.638591,5.776110,0.070329,0.190419,23.518280,99.461507,0.593644,1.577992,1.577992,5.464091
51,1069,32.000000,50.000000,28.456000,-3.544000,23.518280,99.461507,0.593644,1.577992,1.577992,5.464091,0.069079,0.183623,25.114382,101.018947,0.582533,1.520728,1.520728,5.174335
52,1090,24.000000,50.000000,26.129000,2.129000,25.114382,101.018947,0.582533,1.520728,1.520728,5.174335,0.067874,0.177189,26.046959,100.821491,0.571834,1.466559,1.466559,4.904879
53,1111,28.000000,50.000000,25.737000,-2.263000,26.046959,100.821491,0.571834,1.466559,1.466559,4.904879,0.066711,0.171090,27.188805,101.155638,0.561527,1.415263,1.415263,4.653965
54,1132,32.000000,50.000000,35.431000,3.431000,27.188805,101.155638,0.561527,1.415263,1.415263,4.653965,0.065587,0.165305,28.523867,101.950952,0.551589,1.366640,1.366640,4.420015
55,1153,25.000000,50.000000,26.520000,1.520000,28.523867,101.950952,0.551589,1.366640,1.366640,4.420015,0.064501,0.159811,29.310451,101.387799,0.542000,1.320506,1.320506,4.201611
56,1174,22.000000,50.000000,20.822000,-1.178000,29.310451,101.387799,0.542000,1.320506,1.320506,4.201611,0.063451,0.154590,29.849171,100.257677,0.532744,1.276693,1.276693,3.997474
57,1195,19.000000,50.000000,15.780000,-3.220000,29.849171,100.257677,0.532744,1.276693,1.276693,3.997474,0.062435,0.149623,30.158144,98.634394,0.523802,1.235047,1.235047,3.806451
58,1216,21.000000,50.000000,18.816000,-2.184000,30.158144,98.634394,0.523802,1.235047,1.235047,3.806451,0.061452,0.144894,30.568435,97.307435,0.515159,1.195426,1.195426,3.627501
